,IGN Position,Game
0,1,The Legend of Zelda: Breath of the Wild
1,2,Tetris 
2,3,The Last of Us
3,4,The Legend of Zelda: Ocarina of Time
4,5,Half-Life 2
5,6,Super Mario 64
6,7,The Legend of Zelda: A Link to the Past
7,8,The Witcher 3: Wild Hunt
8,9,Resident Evil 4 
9,10,Grand Theft Auto V
10,11,BioShock
11,12,Super Metroid
12,13,Super Mario World
13,14,Mass Effect 2
14,15,Portal 2
15,16,Shadow of the Colossus 
16,17,Street Fighter II: The World Warrior
17,18,Doom 
18,19,Minecraft
19,20,Final Fantasy VII
20,21,Red Dead Redemption
21,22,World of Warcraft
22,23,The Elder Scrolls V: Skyrim
23,24,Hades
24,25,Metal Gear Solid
25,26,Bloodborne
26,27,Chrono Trigger
27,28,Super Mario Bros. 3
28,29,Red Dead Redemption 2
29,30,Dark Souls
30,31,Portal
31,32,Halo: Combat Evolved
32,33,Call of Duty 4: Modern Warfare
33,34,GoldenEye 007
34,35,Uncharted 2: Among Thieves
35,36,God of War
36,37,Super Mario Bros.
37,38,Castlevania: Symphony of the Night
38,39,Super Mario Kart
39,40,Animal Crossing: New Horizons
40,41,Metroid Prime
41,42,Pokemon Red Version
42,43,Disco Elysium
43,44,Final Fantasy VI
44,45,StarCraft
45,46,Journey
46,47,Silent Hill 2 
47,48,Half-Life
48,49,Deus Ex
49,50,Grand Theft Auto III
50,51,Metal Gear Solid 3: Snake Eater
51,52,Star Wars: Knights of the Old Republic
52,53,Batman: Arkham City
53,54,Persona 5
54,55,Super Smash Bros. Ultimate
55,56,The Last of Us Part II
56,57,Diablo II
57,58,Tony Hawk's Pro Skater 2
58,59,Rock Band
59,60,Super Mario Odyssey
60,61,Fallout 3
61,62,Sonic the Hedgehog 
62,63,Counter-Strike
63,64,The Legend of Zelda: The Wind Waker
64,65,Inside
65,66,Pac-Man
66,67,Ms. Pac-Man
67,68,ICO
68,69,The Legend of Zelda
69,70,Undertale
70,71,Tomb Raider -- Featuring Lara Croft
71,72,Grand Theft Auto IV
72,73,Okami
73,74,Fortnite
74,75,Super Mario Galaxy
75,76,Overwatch
76,77,Donkey Kong
77,78,Super Mario Galaxy 2
78,79,Nier Automata
79,80,Space Invaders
